"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Logistics Services Offered","TMS Software Used","Carrier Partners Count & Names","Employee Range Fit","Has Ocean or Air","Has Ocean or Air (2)","Uses CargoWise","Multi Carrier","ICP Score","FF Verified"
,"FS Freight Systems Pte Ltd","FS Freight is an Asset Based Company in Singapore, Operating our own Fleet of Vehicles / Equipment and Self-Managed Warehouse founded by Mr. Kelvin Cheong in 1981.

We currently are a leading 24/7 Ship Spares Logistics service provider and part of the Singapore Logistics Association (SLA).","Freight and Package Transportation","11-50 employees","Privately Held","Singapore","Singapore","fsfreight.com.sg","https://www.linkedin.com/company/fsfreight","[{""serviceCategory"":""ocean freight"",""serviceName"":"""",""serviceDescription"":""Offers ocean freight solutions including FCL, LCL, oversized, and project c...","Response","Response",false,true,true,false,false,0,false
,"godspeed logistics pte ltd","Logistics Turn Key Solutions","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","singapore","Singapore","godspeed.sg","https://www.linkedin.com/company/godspeed-logistics-pte-ltd","[{""fcl"":"""",""lcl"":"""",""evidenceUrl"":""http://www.godspeed.sg/"",""serviceName"":""Last mile delivery"",""serviceCategory"":""road/trucking"",""serviceDescription"":...","Response","Response",true,false,false,false,false,0,false
,"Carriage Global Logistics Pte. Ltd","Carriage Global Logistics Pte Ltd (CGL) is a Singapore-based company founded in 2007. We are a one-stop shop for all your shipping and logistics needs. We offer a wide range of services for FCL,LCL and Air, including NVOCC ,Freight forwarding ,Warehousing ,Customs clearance ,Transport management ,Project logistics , Dangerous goods handling , Oversized cargo transport and shipping.

 Apart from that We also offer a variety of value-added services, such as: Customized packing ,Insurance, Project management , certificate of origin , Inspection  , Fumigation and door to door shipment

We have a team of experienced professionals who are committed to providing our customers with the best possible service.

We have a strong network of partners in over 75 countries. This allows us to provide our customers with a seamless shipping experience, regardless of their destination.

We are committed to sustainability and environmental protection. We use only environmentally friendly packaging materials and we offset our carbon emissions.

We are a reliable and trustworthy company. We have a proven track record of success and we are committed to providing our customers with the best possible service.

If you are looking for a reliable and trustworthy shipping and logistics partner, then CGL is the company for you. Contact us today to learn more about our services.
When you choose Carriage Global Logistics Pte Ltd, we not only can ship your unit / machinery, we can also provide temporary storage facility, repair and maintenance facility (including paint job, engine overhaul, washing, replacement of parts, servicing etc) by professionals. We are also specialized in dismantling and stuffing machineries in containers and also provide lashing / unlashing services.

Singapore is one of the biggest transshipment ports in the world and this gives us the advantage to cater to the vast shipping needs of our customers.","Freight and Package Transportation","11-50 employees","Privately Held","SINGAPORE, SINGAPORE","Singapore","cgl.com.sg","https://www.linkedin.com/company/cglsingapore","[{""fcl"":""yes"",""lcl"":""yes"",""evidenceUrl"":""https://cgl.com.sg/services/"",""serviceName"":""Sea Shipment & LCL Shipment"",""serviceCategory"":""ocean freight"",""...","Response","Response",false,true,true,false,false,0,true
,"BROADLINK SERVICES PTE LTD","Ecommerce Shipping & handling.
Freight / Sea related handling.
Transportation 
Warehousing","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Changi","Singapore","broadlink.com.sg","https://www.linkedin.com/company/broadlink-services-pte-ltd","Error processing request","Error processing request",,true,false,false,false,false,5,true
,"XCO PTE LTD","At XCO, we aim to introduce transparent, honest and reliable shipping to all parts of the world while ensuring competitive rates and speed.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore, Singapore","Singapore",,"https://www.linkedin.com/company/xco-pte-ltd",,,,false,false,false,false,false,0,false
,"Cosco Shipping Lines (Singapore) Pte Ltd","COSCO SHIPPING LINES (SINGAPORE) PTE LTD represents COSCO SHIPPING Group, COSCO SHIPPING Lines, in Singapore. We provide expertise in operation procedures for all Chinese ports and an unrivalled wide-coverage shipping network throughout the whole of China. So, when you need full container or breakbulk services, a shipping expert into China — think of COSCO SHIPPING LINES (SINGAPORE) PTE LTD.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Public Company","Downtown Core, Central","Singapore","coscoshipping.com","https://www.linkedin.com/company/cosco-shipping-lines-singapore-pte-ltd","[]","Response","Response",false,false,false,false,false,0,false
,"EVO Lines (S) Pte Ltd","EVO Lines (S) Pte Ltd values their clients, their time and resources. By integrating our extensive skills and experiences in areas of international sea & air freight forwarding, cross trade shipping, warehousing, transportation, customs clearance & shipping documentation, we are able to provide the most reliable, trustworthy, dependable and competitive one stop logistics solution service provider.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore, Singapore","Singapore","evolines.com.sg","https://www.linkedin.com/company/evolines-s-pte-ltd","[{""fcl"":""yes"",""lcl"":""yes"",""evidenceUrl"":""https://evolines.com.sg/services/sea-freight/"",""serviceName"":""Sea Freight"",""serviceCategory"":""ocean freight"",...","Response","Response",false,true,true,false,false,0,true
,"ALPS LOGISTICS (S) PTE LTD","Alps Logistics is a group company of Alps Alpine","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Singapore","Singapore","alps-logistics.com","https://www.linkedin.com/company/alps-logistics-s-pte-ltd","[{""serviceCategory"":""road/trucking"",""serviceName"":""Transport Service"",""serviceDescription"":""Handling of electronic components with optimized cargo han...","Response","Response",true,true,true,false,false,0,false
,"DPro Logistics Pte Ltd","Our brand exists to provide business owners with “Peace of Mind” so that they and their clients can enjoy more time to grow revenue and relationships. In the market, we serve our brand purpose by providing round-the-clock, fast and reliable manpower supply, warehousing, freight forwarding and delivery services.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore, Singapore","Singapore","dprologistics.com","https://www.linkedin.com/company/dprologistics","[{""fcl"":"""",""lcl"":"""",""evidenceUrl"":""https://directprologistics.com/services/"",""serviceName"":""Full Truckload"",""serviceCategory"":""road/trucking"",""service...","Response","No answer",false,true,true,false,false,0,false
,"MYEX","We are a service provider of cross-border payment solutions, international remittance services, supply chain, logistics and e-commerce solutions specialized in Asia e-commerce marketplace, with HQ based in Singapore, and 4 operation offices in Kuala Lumpur Malaysia, Guangzhou China, Hong Kong China, and Ho Chi Minh Vietnam.

We are one of the largest service providers for Alibaba's cross-border e-commerce solutions in the Southeast Asia region since 2013. More than 2 million cargo shipped, and continues to grow and expand, while we are also actively looking for M&A opportunities in the region we serve.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore","myex.my","https://www.linkedin.com/company/myex","[]","Response","Response",false,false,false,false,false,0,false
,"Peregrine Cold Logistics","Peregrine Cold Logistics is the next-generation cold-chain platform, institutionally backed by Stonepeak, the world's largest independent infrastructure investment firm. Headquartered in Singapore, we are purpose-built to meet the accelerating demand for temperature-controlled infrastructure across Asia's rapidly evolving markets including ASEAN, North Asia and the GCC.

Our culture is grounded in performance, integrity, care for our people, our partners and the communities we serve.

We invest in talent and technology to deliver best-in-class cold chain operations while actively working to reduce our environmental impact. Our mission is to create long-term value by building a network of high-performance facilities that support food security, sustainability, and regional growth.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore","peregrinecold.com","https://www.linkedin.com/company/peregrine-cold-logistics","[{""serviceCategory"":""ocean freight"",""serviceName"":""Ocean Freight Services"",""serviceDescription"":""Comprehensive ocean freight solutions including integ...","Response","Response",false,true,true,false,false,0,false
,"IE SHIPPING PTE LTD","I.E. Shipping provides first-hand insights into shipbroking affairs in Great China. Our team is made up of former Cargill and Oldendorff employees who are highly experienced with transporting dry bulk cargoes. Through the years, we have fostered and curated longstanding relationships with ship owners, charterers, operators, and traders from around the world. We pride ourselves in being the conduit between European and Asian shipping routes. Most of all, we intimately understand the needs of customers at all stages of the shipping trade.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore","ieshipping.com","https://www.linkedin.com/company/ie-shipping-pte-ltd","[{""serviceCategory"":""other"",""serviceName"":""Agency, Brokerage, Market Intelligence"",""serviceDescription"":""Offers agency, brokerage, and market intellig...","Response","Response",false,false,false,false,false,0,false
,"Makeway Pacific Pte Ltd","Founded in 2019, Makeway Pacific Pte Ltd is a leading provider of comprehensive port services in Singapore designed to streamline and enhance maritime logistics. Our expertise spans Prime Mover operations, Lashing services, Inter-Gateway Haulier solutions, and Inter-Terminal Transfers. We are committed to delivering efficiency, reliability, and safety in every aspect of port operations, ensuring the seamless movement of cargo and optimal support for our clients. At Makeway Pacific, we pride ourselves on our innovative approach and dedication to excellence, positioning us as a trusted partner in the supply chain.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Public Company","Tuas, West Region","Singapore","makewaypacific.com","https://www.linkedin.com/company/makeway-pacific-pte-ltd","[{""fcl"":"""",""lcl"":"""",""evidenceUrl"":""https://makewaypacific.com/"",""serviceName"":""Prime Mover"",""serviceCategory"":""road/trucking"",""serviceDescription"":""Co...","Response","Response",true,false,false,false,false,0,false
,"Asia Cold Chain Association","A platform to work together to improve temperature-sensitive products supply chain to protect health and reduce waste.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Non Profit","Singapore","Singapore","asiancoldchain.org","https://www.linkedin.com/company/asia-cold-chain-association","[]","Response","Response",true,false,false,false,false,0,false
,"MOVE MOVE PTE LTD","Last mile delivery solutions; Residential Movings; Commercial Movings; Office Relocation; Shop/Warehouse relocation; Container stuffing/unstuffing; Green Disposal","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore","movemove.biz","https://www.linkedin.com/company/move-move-pte-ltd","[{""fcl"":""no"",""lcl"":""no"",""evidenceUrl"":""https://movemove.biz/services/"",""serviceName"":""Residential Moving Service"",""serviceDescription"":""Moving service...","Response","Response",false,false,false,false,false,0,false
,"Zion Moving & Storage Pte. Ltd","Shipping & Logistic Firm with Moving capacity. Warehouse Management with Storage Facilities for all types of commodities. Professional Piano Handling, Handyman Services, and Cleaning Services. We Handle our Customer's request based on their requirements and needs to meet their satisfaction. Our service is not limited yet open arms for all types of requests. We will customize our service to refer to our customer's preferences. Excellent in house team with great experience to support and assist our customers' needs.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Self Owned","Singapore, Singapore","Singapore","zionmoving.com","https://www.linkedin.com/company/zion-moving-storage-pte-ltd","[{""fcl"":"""",""lcl"":"""",""evidenceUrl"":""https://mtzionmoving.com/"",""serviceCategory"":""other"",""serviceName"":""Residential and Commercial Moving"",""serviceDesc...","Response","Response",false,false,false,false,false,0,false
,"Flow Services Singapore","Outsourced Supply Chain Services for the F&B Industry covering logistics, operations and warehousing","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore","flowsingapore.com","https://www.linkedin.com/company/flow-services-singapore","[{""serviceCategory"":""warehousing"",""serviceName"":""Multi-temperature warehousing"",""serviceDescription"":""Specialized warehousing solutions for different ...","Response","Response",false,false,false,false,false,0,false
,"IXPRESS647","'We are an Outsource Logistics Courier and Delivery Service in Singapore. We provide delivery from only $7. All level of services is provided from Next day delivery to 1 hour rush delivery. We do not charge our drivers a commission which means our drivers earn 100% through our application. Book with us today!'","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Partnership","Singapore, Singapore","Singapore","ixpress647.com","https://www.linkedin.com/company/ixpress647","[]","Response","Response",true,false,false,false,false,0,false
,"GRAND STAR SHIPPING PTE LTD","We do the worldwide container shipping, airfreight, logistics, supply chain and the one-stop service.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Singapore","Singapore","gswlog.com","https://www.linkedin.com/company/grand-star-shipping-pte-ltd","Error processing request","Error processing request",,true,false,false,false,false,5,true
,"Radeep Services","At Radeep Services, we are committed to delivering seamless and efficient logistics solutions tailored to your needs. With over 25 years of industry experience and a strong reputation among trusted clients, we specialize in logistics, warehousing, freight forwarding, packing, container trucking and clearing, ensuring the smooth and secure movement of your goods across supply chains. Reach out to us to explore how we can support your logistics and freight forwarding needs today.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Self Owned","Singapore, Singapore","Singapore",,"https://www.linkedin.com/company/radeep-services",,,,false,false,false,false,false,0,false
,"Allport Cargo Services Logistics Pte Limited","ALLPORT CARGO SERVICES LOGISTICS PTE LTD","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Self Owned","Singapore","Singapore","allportcargoservices.com.sg","https://www.linkedin.com/company/allport-cargo-services-logistics","Error processing request","Response","Response",true,false,false,false,false,5,true
,"GPSL (Asia) Pte Ltd","Physical Security and Logistics","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held",,"Singapore","gpslasia.com","https://www.linkedin.com/company/gpsl-asia-pte-ltd","[]","No answer","Response",false,false,false,false,false,0,false
,"Zapp Logistics Pte Ltd","Zapp is the advanced planning and optimisation specialist in Singapore that specializes in supply chain consultation and implementation to help businesses maximize their supply chain performance and value creation through innovation solutions and services. We help clients to become profitable and valuable on the industry they are venturing while making them agiler, flexible and adaptive to the ever-changing market. Zapp collaborates with their clients from improving the operations strategies, supply chain planning, to the execution of the mega processes that involves the supply chain.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore, Singapore","Singapore","zapp.com.sg","https://www.linkedin.com/company/zapp-logistics-pte-ltd","No answer","Response","Response",false,false,false,false,false,0,false
,"Hup Soon Cheong Services Pte Ltd","Since 1992, Hup Soon Cheong have grown into a trusted logistics partner known for speed, reliability and developed a commitment to our client's success.

As one of the largest neutral CFS operator in Singapore. We helped move cargo around the globe. 

We also developed our own WSM, trucking, transport and cargo tracking system. Design by operators, build by operators. It's the only one of the kind system within the CFS domain.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Bukit Merah","Singapore",,"https://www.linkedin.com/company/hup-soon-cheong-services-pte-ltd",,,,true,false,false,false,false,0,false
,".NXT",".NXT is a global business enabler between Direct Customers, Freight Forwarders & Shipping Lines based on a synergy of mutual benefits. 

Through our consultancy & expertise as a solution provider, we are preparing our members for the future through our premium data platform.

When forces act in the same direction, they combine to make a bigger force. This is the core foundation of how we do business.

.NXT will enable your business by providing the best solutions so you can focus on your core: moving cargoes.

From an independent to a multinational without losing your entity, that’s what .NXT is all about.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore, Singapore","Singapore","nxt-global.com","https://www.linkedin.com/company/nxt-global","[{""fcl"":""no"",""lcl"":""no"",""evidenceUrl"":""https://nxt-global.com/our-services"",""serviceName"":""Managed Networks and Support Services"",""serviceCategory"":""o...","No answer","Response",false,true,true,false,false,0,true
,"YANG FAN OCEAN LOGISTICS LDT","Yang Fan Ocean Logistics Ltd, we specialize in advanced maritime logistics, ensuring seamless global connectivity through cutting-edge vessel technology and strategic shipping operations. 
 Our Mission: To redefine maritime logistics with innovative, efficient, and sustainable solutions tailored for complex cargo needs.
  Our Vision: To establish ourselves as the most trusted name in ocean transportation, delivering operational excellence while integrating modern logistics technology

yangfan.oceanlogistics@gmail.com","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Partnership","Singapore, 200 JALAN SULTAN","Singapore",,"https://www.linkedin.com/company/yang-fan-ocean-logistics-ldt",,,,false,false,false,false,false,0,false
,"Jepec Forwarder","If you’re looking for the best freight forwarders in Singapore who can offer any type of freight service, then look no further than Omni Global & Jepec Forwarder. It provides every freight solution that businesses need, from warehouse storage to air transportation.

On top of that, it has managed to earn the trust of many of the well-known corporations not only in Singapore, but around the world as well. Even if you’re a small business owner, it offers services that shouldn’t hurt your budget.

In terms of handling of goods, you can make sure that Omni Global & Jepec Forwarder will handle items carefully too, delivering them to the destination safe and sound and without a scratch.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore","Singapore","omniglobal.com.sg","https://www.linkedin.com/company/jepec-forwarder","[]","Response","Response",false,false,false,false,false,0,false
,"Alps Logistics (S) Pte Ltd","Monozukuri (manufacturing) logistics is very different from ordinary logistics: it requires specialist, finely tuned handling.
Alps Logistics offers various solutions design to support monozukuri (manufacturing), to achieve total customer satisfaction. 

With some 80 warehouses and offices across 15 countries and regions worldwide,
Alps Logistics can support our customers' international operations
through our global logistics services.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Public Company","Singapore, Singapore","Singapore","alps-logistics.com","https://www.linkedin.com/company/alps-logistics-singapore","Error processing request","Response","Response",true,false,false,false,false,5,true
,"East West Consulting Pte Ltd","EWC offers customized, attentive and hands-on service catering to clients who require bespoke cargo solutions. We prioritize building strong relationships and proactively addressing challenges to ensure seamless solutions.  Our knowledge based approach and strong relationships add significant value to every client’s offering.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore, Changi","Singapore","eastwestsingapore.com","https://www.linkedin.com/company/east-west-consulting-pte-ltd","[]","Response","Response",false,false,false,false,false,0,false
,"Asia Fuel Terminals Pte Ltd","Fuel Services Overview
AFT provides comprehensive fuel services spanning engineering, consultancy, management, surveying, and monitoring for maritime, industrial, and energy sectors globally.
Trading Operations
Our fuel trading capabilities operate across multiple scales:
International Trading

Strategic partnerships with major global suppliers and refineries
Cross-border transaction management and documentation
International arbitrage opportunities identification
Long-term supply agreements with multinational entities
Established seller relationships with top-tier global producers

National Distribution

In-country fuel supply network management
National tender participation and execution
Government and institutional supply contracts
Domestic producer partnerships in key markets
National storage facility utilization

Local Supply Solutions

Regional distribution networks for immediate delivery
Last-mile logistics coordination
Local market price optimization
Community-specific fuel blending requirements
Direct relationships with local consumers

Seller Relationships
Our competitive advantage stems from longstanding relationships with fuel sellers:

Preferred partner status with major international oil companies
Direct access to refineries eliminating intermediary costs
Volume-based purchasing agreements securing competitive pricing
Mutual investment in quality control systems
Collaborative approach to regulatory compliance
Established credit facilities and payment terms

Engineering Services
Our engineering team specializes in fuel infrastructure design including:

Storage facility design optimization
Transfer system engineering
Fuel handling system specifications
Pipeline infrastructure development
Terminal layout and workflow design
Site-specific modifications for challenging environments

Quality Assurance
We deliver integrated bunkering services with advanced quality control protocols.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore",,"https://www.linkedin.com/company/asia-fuel-terminals-pte-ltd",,,,false,false,false,false,false,0,false
,"Handling System","Over the years, Handling System Co. Pte Ltd diversified its operations to many areas within the maritime and transportation industry:

Providing and managing appropriated berth operations, container transportation and warehousing both in Singapore and Malaysia.

-Specialist for stevedoring in Jurong Port and PSA, including roro vessels and steel cargos (including bulk and break-bulk), with more than 45 years of expertise.

-Supplying of ship supplies and deck stores in Singapore to major shipping lines and all CIS shipping lines for the former Soviet Union.

-Supplying tugs and barges in South East Asia.

-Supplying heavy haulage transportation for the construction industry and specializing in heavy lift operation such as the launching of concrete structures for bridges, flyovers and pedestrian walk-ways as well.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Singapore, Singapore","Singapore","handlingsystem.com.sg","https://www.linkedin.com/company/handling-system-sg","[{""serviceCategory"":""other"",""serviceName"":""Stevedoring and Transportation Services"",""serviceDescription"":""Provides stevedoring, container transport, w...","Response","Response",true,false,false,false,true,0,false
,"LogisticxPro","We are the market leaders in providing a total and comprehensive solution for the logistics, travel and 

transportation industry. Experts in the industry, we have the knowledge and understanding to bring 

efficiency to your company and increase your productivity from day one. Our new generation solution 

is robust, easy to use, and highly customizable and can be quickly deployed in any environment. The 

product is platform agnostic. No additional hardware investment is required. 



We provide a highly comprehensive and extensive range of services. These services we designed 

around the customer organization. This required us to initially fully understand and comprehend their 

needs and requirements. Routing and scheduling, documentation management services, performance 

monitoring and measurement and just a few range of services offered. We are reliable professionals 

dedicated in delivering premium services to our customers. We take pride and honor in unique 

capability and achievement.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Singapore","Singapore","logisticxpro.com","https://www.linkedin.com/company/logisticxpro","[{""serviceCategory"":""other"",""serviceName"":""LogisticXPro Platform"",""serviceDescription"":""An advanced logistics management system offering real-time shi...","Response","Response",true,false,false,false,false,0,false
,"H&M Metal Warehousing","With its roots as an established warehouse operator that specializes in the logistics of non-ferrous metals, H&M Metal Warehousing has grown to be one of the biggest logistics service provider in Asia.

With decades of experience operating warehouses that are approved on the London Metal Exchange (LME) all over Asia, H&M Metal Warehouse strives to maintain the highest standards of service in the global commodity trade business.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore","hm-metal.com.sg","https://www.linkedin.com/company/hm-metal-warehousing","[{""serviceCategory"":""ocean freight"",""serviceName"":""Freight Forwarding Services"",""serviceDescription"":""Provides global freight forwarding solutions inc...","Response","Response",false,true,true,false,false,0,true
,"KMS Lines Singapore","At KMS Lines, we're not just a logistics company; we're the bridge that connects businesses to seamless supply chain solutions. With over 30 years of experience in freight forwarding and freight management solutions, our mission is to build lasting and rewarding relationships with our customers through responsiveness, efficiency, and quality service. We take pride in our integrated approach, working cohesively to deliver exceptional service to our valued customers, all under the trusted KMS Lines brand.

Our success is rooted in our people, who are the driving force behind everything we do. We are proud to have a team of experts and professionals who consistently prioritize safety, uphold the highest ethical standards, and cater to the unique needs of our customers and communities. With our motto, ""We Promise, We Deliver,"" you can trust us to fulfill our commitment to excellence.","Freight and Package Transportation","11-50 employees","Privately Held","Changi Singapore, Singapore","Singapore","kmslines.com.sg","https://www.linkedin.com/company/kms-lines-singapore","[{""fcl"":""yes"",""lcl"":""yes"",""evidenceUrl"":""https://www.kmslines.com.sg/services/"",""serviceName"":""Sea Freight Services"",""serviceCategory"":""ocean freight""...","Response","Response",false,true,true,false,false,0,true
,"ArtSafe Pte. Ltd.","At ArtSafe, we offer a one-stop solution for all your art-related needs at an affordable rate, from the time when an art piece is created to its final state. Additionally, you can also have your private collection of art pieces installed for your private viewing. From framing, handling and shipping, to packing, we are here to make your journey of collecting art an enjoyable experience.



ArtSafe is a member of the U-Freight Limited Group, an international logistics group providing freight forwarding and logistics solutions with an overriding attention to service, reliability and cost efficiency throughout the global supply chain.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore, Singapore","Singapore","artsafesg.com","https://www.linkedin.com/company/artsafesg","[]","Response","Response",false,false,false,false,false,0,false
,"Infinite Transports","INFINITE TRANSPORTS PTE LTD has been a reliable Delivery Service since 2014, it started off. Being a great service provider means having complete and total confidence in the people providing those services, and we’re proud to have the best pros in the business working with us. With a focus on personalized service, competitive rates, and customer satisfaction, we’re always striving to meet and exceed our high standards and our client’s expectations.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore","infinitetransports.com.sg","https://www.linkedin.com/company/infinite-transports","[{""serviceCategory"":""other"",""serviceName"":""FREIGHT TRANSPORT ARRANGEMENT"",""serviceDescription"":""Infinite Transports provides freight transport arrange...","Response","Response",false,false,false,false,false,0,false
,"SampleArchive Pte Ltd","Peace of mind, all the time.

SampleArchive offers integrity in biosample storage, archival, inventory management, and cold-chain conveyancing as a non-partisan service provider.

We are professional, nimble, and flexible experts offering essential solutions to meet the needs of our industry partners and customers.
We provide both turnkey and tailored solutions as a neutral and reliable third party.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore","samplearchive.com.sg","https://www.linkedin.com/company/samplearchive-pte-ltd","[{""serviceCategory"":""other"",""serviceName"":""Bio-Conveyance"",""serviceDescription"":""SampleArchive provides controlled-temperature bio-transportation serv...","Response","Response",false,false,false,false,false,0,false
,"hive connects","ASEAN is home to one of the most vibrant markets in the world and the hive platform fosters greater collaboration among ASEAN freight forwarders. Like bees gathering nectar, member freight forwarders and traders can create more value for their customers as they can easily connect with each other and to global trade compliance services. The interconnectivity of the hive platform makes trade more accessible, predictable and easier for our members.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore, Singapore","Singapore","hiveconnects.com","https://www.linkedin.com/company/hiveconnects.com","No answer","Response","Response",false,false,false,false,false,0,true
,"Sydha Movers Pte Ltd","We are an established company for over 3 decades. We focus on commercial relocation and manpower supply on contractual basis. 

Commercial Relocation
Project Management
Logistics Support
Disposal Services
Short/Long term Storage
Manpower supply
Lorries for hire with Drivers","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Self Employed","Singapore","Singapore",,"https://www.linkedin.com/company/sydha-movers-pte-ltd",,,,true,false,false,false,false,0,false
,"Abroadrelo","As an industry leader in shipping household goods to and from Singapore, we offer our customers affordable options and our price guarantee you’ll only pay the quoted rate for the volume you are shipping and no more.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Public Company","A’POSH BIZ HUB","Singapore","abroadrelo.com","https://www.linkedin.com/company/abroadrelo","[{""serviceCategory"":""other"",""serviceName"":""Comprehensive logistics and freight services"",""serviceDescription"":""Abroad Relocation offers international ...","Response","Response",false,true,true,false,false,0,false
,"BYCOM INDUSTRIES PTE LTD","Bycom Industries provide wide range of packaging products.
specially carry foods, chemical,","Freight and Package Transportation","51-200 employees","Public Company","Woodlands Ave 9, singapore","Singapore","bycom.net","https://www.linkedin.com/company/bycom-industies","[{""serviceCategory"":""other"",""serviceName"":""Dry Bulk"",""serviceDescription"":""Provides dry bulk logistics solutions, including bulk bags and related serv...","Response","Response",true,false,false,false,false,0,false
,"Across International Relocation (S) PTE LTD","Across International Relocation, based in Singapore, stands as a premier provider of International, Domestic, and Corporate Relocation services globally. Renowned as one of the leading relocation companies in Singapore, we take pride in our team of seasoned professionals adept at managing diverse relocation needs. At Across International Relocation, we specialize in relocating individuals and families to Singapore or from Singapore to any corner of the world. Our commitment is reflected in our tailored moving and relocation plans, ensuring a seamless transition for our clients. Feel free to get in touch with us…Get A Free Quote : https://acrossrelo.com/get-a-free-quote/

Singapore +65 9892 9492 (https://wa.me/6598929492)
E-Mail : contact@acrossrelo.com, sales@acrossrelo.com
Website : https://acrossrelo.com/
Instagram : @acrossrelo
FaceBook : https://www.facebook.com/acrossinternationalrelocation
Get A Free Quote : https://acrossrelo.com/get-a-free-quote/

Across International Relocation (S) PTE LTD is a trusted and reliable moving company that provides end-to-end moving services to and from Singapore, Dubai, India, and countries across the globe. We offer a wide range of services, including - Household Relocation, Pet Relocation, Domestic Moves, International Moves, Door to Door Services, Corporate Relocation Services, Office Moves, Warehousing Vehicle, Transporting, Car Shipping, Vehicle transport, Business Services, Moving Insurance, Residential Moving, Household Moving, Furniture assembly, Pre Move Survey, Custom Documentation, Car Transportation Services,  Commercial Transportation,  Car & Bike Shifting, Overseas Relocation, Warehousing Services, Vehicle Transportation, Excess Baggage Services, International Moving Checklist Complete documentation, Customs clearance, Insurance, Packing, Storage, Shipping, Nationwide transportation.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Partnership","Yishun, North Region","Singapore","acrossrelo.com","https://www.linkedin.com/company/acrossrelo","[{""serviceCategory"":""other"",""serviceName"":""International Moving, Domestic Moving, Residential Moving, Moving Insurance, Commercial Relocation, Storage...","Response","Response",false,false,false,false,false,0,false
